response_id,ResponseId,Status,ResponseDate,CompletionDate,MemberID,Busk_Q5_ Provide your comment,GENDER (Source: Profiling Questionnaire 2014),Q12_Employment_Status (Source: Profiling Questionnaire 2014),Q12_Employment_Status_Other (Specify) (Source: Profiling Questionnaire 2014),Q14a_Primary_Transportation (Source: Profiling Questionnaire 2014),Q14a_Primary_Transportation_Other (Specify) (Source: Profiling Questionnaire 2014),Q14b_Secondary_Transportation (Source: Profiling Questionnaire 2014),Q14b_Secondary_Transportation_Other (Specify) (Source: Profiling Questionnaire 2014),Q15_Household_Income (Source: Profiling Questionnaire 2014),Q16_Education (Source: Profiling Questionnaire 2014),NEIGHBOURHOOD (Source: Profiling Questionnaire 2014),WARD (Source: Profiling Questionnaire 2014),Age_Rollup_Detailed (Source: Profiling Questionnaire 2014)
1,4.63E+11,Complete,8/14/2018 4:40:46 PM,8/14/2018 4:43:43 PM,732eb8f1-50f4-497e-b701-a4ff00254452,,Male,Employed full-time (30+ hours a week),,Public Transit,,Car/truck/Van as DRIVER,,"$100,000 to $149,000",University undergraduate degree,THE HAMPTONS,5,30-34
2,4.63E+11,Complete,8/15/2018 3:57:38 AM,8/15/2018 4:05:37 AM,a00321b7-114c-4386-b02f-a4ff00254452,"busking is just a polite term for begging.  Now making an exception during the Fringe is fine, but the rest of the time, it is not fair to the people that pay rent on their business locations.

Also, I really am tired of 'buskers' making a lot of noise on Whyte ave or in Churchill station.",Male,Employed full-time (30+ hours a week),,Car/truck/Van as DRIVER,,Walk,,"$150,000 and over",College / technical school graduate,BONNIE DOON,8,50-54
3,4.63E+11,Complete,8/14/2018 5:54:54 PM,8/14/2018 6:08:25 PM,41a64b0a-b017-4a8d-a4ff-a4ff00254452,This was very hard to comprehend as it was very vague and the questions stilted.  I don't think these questions really will gather the feedback you want.,Female,Employed part-time (0-30 hours a week),,Car/truck/Van as DRIVER,,Car/truck/van as PASSENGER,,"$80,000 to $99,999",University undergraduate degree,HOLLICK-KENYON,4,45-49
4,4.63E+11,Complete,8/14/2018 10:35:08 PM,8/14/2018 10:42:17 PM,df57b5f2-a1f8-488c-ade4-a4ff00254452,,Male,Employed full-time (30+ hours a week),,Car/truck/Van as DRIVER,,Walk,,"$80,000 to $99,999",College / technical school graduate,LYMBURN,5,35-39
5,4.63E+11,Complete,8/14/2018 10:01:17 PM,8/14/2018 10:04:23 PM,2cef8dfe-6ef9-48fa-a614-a4ff00254452,,Male,Employed full-time (30+ hours a week),,Car/truck/Van as DRIVER,,Bicycle,,"$150,000 and over","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",CUMBERLAND,2,45-49
6,4.65E+11,Complete,8/20/2018 5:41:20 PM,8/20/2018 5:49:46 PM,3c3386be-7563-4dc3-9cff-a4ff00254452,,Male,Employed full-time (30+ hours a week),,Car/truck/Van as DRIVER,,Only have one mode of transportation,,"$150,000 and over",College / technical school graduate,ASPEN GARDENS,10,70-74
7,4.63E+11,Complete,8/14/2018 4:18:40 PM,8/14/2018 4:29:39 PM,669eb171-9d83-4734-aa64-a4ff00254452,,Male,Employed full-time (30+ hours a week),,Car/truck/Van as DRIVER,,Only have one mode of transportation,,"$150,000 and over",Post-graduate degree,LAURIER HEIGHTS,5,45-49
8,4.63E+11,Complete,8/14/2018 4:22:19 PM,8/14/2018 4:37:23 PM,463772e7-7de7-4b24-8dec-a4ff00254452,why is this a problem? we have so many rules - no wonder we can't get anything done in this city - everything has to have bylaws. what is driving this? can't people just figure things out?,Male,Employed full-time (30+ hours a week),,Car/truck/Van as DRIVER,,Walk,,"$150,000 and over",Post-graduate degree,PLEASANTVIEW,10,50-54
9,4.63E+11,Complete,8/14/2018 5:26:12 PM,8/14/2018 5:49:25 PM,42de029e-0667-4bde-ba7f-a4ff00254452,"Seems to me that busking would be OK close to a business entrance if the business agrees to it.  And being close to a signalled intersection would be helpful to buskers as people are momentarily stopped.
  I think it would be helpful to regulate the use of amplifiers.  At the interstellar rodeo a busker had a loud amplifier and was set up close to the lineup to get in.",Male,Retired,,Car/truck/Van as DRIVER,,Walk,,"$60,000 to $79,999",Post-graduate degree,PARKALLEN,10,75-79
10,4.63E+11,Complete,8/14/2018 5:13:21 PM,8/14/2018 5:23:09 PM,1113a393-931e-4456-bc66-a4ff00254452,Focus should be on encouraging more busking and a positive experience for both the busker and the public.,Male,Employed full-time (30+ hours a week),,Car/truck/Van as DRIVER,,Public Transit,,"$150,000 and over",University undergraduate degree,BELLE RIVE,3,55-59
11,4.64E+11,Complete,8/17/2018 9:06:09 PM,8/17/2018 9:21:40 PM,0dc1c04d-c14c-4818-a6a5-a4ff00254452,"I think harassment of users of public space is more of a concern than exact placement. The ""setback"" requirements seem extreme and will effectively make busking not allowed in active areas such as Whyte Avenue, which is ridiculous.",Female,Employed full-time (30+ hours a week),,Walk,,Public Transit,,"$20,000 to $29,999",Post-graduate degree,OLIVER,6,30-34
12,4.63E+11,Complete,8/14/2018 4:29:55 PM,8/14/2018 4:34:25 PM,7c018f43-ea07-406b-9eba-a4ff00254452,,Male,Employed full-time (30+ hours a week),,Public Transit,,Walk,,"$60,000 to $79,999",College / technical school graduate,RAPPERSWILL,3,45-49
13,4.63E+11,Complete,8/15/2018 12:36:01 AM,8/15/2018 12:56:18 AM,71ac60f8-e607-48ad-8f27-a4ff00254452,,Male,Employed full-time (30+ hours a week),,Public Transit,,Car/truck/van as PASSENGER,,"$80,000 to $99,999",High school graduate,OLIVER,6,45-49
14,4.63E+11,Complete,8/14/2018 4:54:26 PM,8/14/2018 4:58:27 PM,4f8073f3-68a6-4ddb-a5e3-a4ff00254452,,I prefer not to answer,Employed full-time (30+ hours a week),,Public Transit,,Bicycle,,"$30,000 to $39,999",University undergraduate degree,PARKALLEN,10,30-34
15,4.63E+11,Complete,8/14/2018 5:45:38 PM,8/14/2018 6:15:00 PM,c2664df3-efe5-491b-ac79-a4ff00254452,if the busker is working with a business to entice customers they should be able to do so next to the entrance,Male,Retired,,Car/truck/Van as DRIVER,,Walk,,"$100,000 to $149,000",College / technical school graduate,WOODCROFT,2,60-64
